Name,DOB,Email,phone_number,Country,location,Address,Education,Gender,Zip_Code,skillsofusers,File_path
Kathy Cook,18-03-1990,ipage@example.org,416.828.5816,Zimbabwe,"New Grace, IL",2872 Mendez Gateway,Bachelors,Other,81102,"['communication', 'database management', 'event planning', 'excel']",archive (5)/data/data/APPAREL/10876132.pdf
Jesse Sanchez,04-05-1968,christophercohen@example.com,584-834-7546x87241,Ukraine,"Wilsonborough, NE",2252 William Drives,Bachelors,Other,66838,"['communication', 'unix', 'monitoring', 'leadership', 'marketing', 'training', 'security', 'sales']",archive (5)/data/data/FINANCE/92524964.pdf
Kathleen Roberts,21-04-1999,wilsonstacy@example.com,(362)550-2426,Cambodia,"Meganfurt, KS",0252 Miranda Glen Suite 916,Masters,Female,59702,"['automation', 'Scripting', 'MVC', 'MONITORING', 'Classification', 'HTML', 'Operating System', 'JSON', 'JavaScript', 'coaching', 'SQL', 'unit testing', 'Coaching', 'decision making', 'CSS']",archive (5)/data/data/CONSULTANT/91189201.pdf
Melinda Young,01-12-1986,carl04@example.org,627.481.9948x53987,United Arab Emirates,"East Melissafurt, MP",4622 Dylan Inlet,Bachelors,Other,59314,"['Java', 'Operating System', 'SQL', 'IDE', 'Linux']",archive (5)/data/data/FINANCE/26767199.pdf
Dustin Sutton,29-06-1992,traviswatson@example.net,267.284.3842,Falkland Islands (Malvinas),"Parkfort, HI",837 Serrano Terrace Apt. 916,Masters,Other,65852,"['communication', 'marketing', 'training', 'sales', 'customer service']",archive (5)/data/data/FITNESS/95769832.pdf
Joshua Gray,18-12-2003,christopherbowen@example.net,+1-279-547-7325x41956,Anguilla,"East Jeremy, UT",3136 Snyder Station,Bachelors,Other,62936,"['time management', 'critical thinking', 'communication', 'cad', 'go', 'networking', 'problem solving', 'research', 'pca', 'presentation skills']",archive (5)/data/data/DESIGNER/25023614.pdf
Hannah Jackson,04-12-1963,susan27@example.org,001-285-612-1914x53264,Uzbekistan,"East Tyler, NM",1398 Johnson Isle,Masters,Other,72557,"['excel', 'process improvement', 'leadership', 'project management', 'collaboration', 'c++', 'training', 'matlab']",archive (5)/data/data/AVIATION/19506295.pdf
Justin Rowe,22-03-1983,ecrawford@example.org,+1-288-566-6767x537,Palau,"Port Jamesview, WY",903 Hamilton Corner,Masters,Male,24678,"['communication', 'mentoring', 'marketing', 'event management', 'business development', 'Marketing', 'editing', 'Acid']",archive (5)/data/data/CONSULTANT/13313917.pdf
Curtis Booth,07-02-1981,casenathaniel@example.net,+1-942-779-6269x298,Burundi,"Port Rebecca, DE",7125 Johnson Pines,Bachelors,Male,55642,"['communication', 'leadership', 'training', 'sales', 'customer service']",archive (5)/data/data/DESIGNER/14724186.pdf
Andre Smith,14-07-1984,awoodward@example.net,###############################################################################################################################################################################################################################################################,Malaysia,"Hunterstad, IL",00069 Fowler Shoals Apt. 928,Masters,Other,28547,"['communication', 'performance evaluation', 'monitoring', 'cv', 'project management', 'sa', 'api']",archive (5)/data/data/AUTOMOBILE/99680385.pdf
Randall Miller,23-03-1986,ortizhannah@example.com,+1-643-220-5146x694,Saint Vincent and the Grenadines,"Port Courtneymouth, LA",22967 Walsh Plains Suite 124,Masters,Other,64035,"['communication', 'excel', 'team leadership', 'leadership', 'base', 'marketing', 'customer service']",archive (5)/data/data/HEALTHCARE/11378657.pdf
Stefanie Moreno,22-10-1982,lori60@example.org,550.478.0126,Congo,"Lake Timothyside, NV",803 Maria Throughway Apt. 590,Masters,Male,12536,"['communication', 'time management', 'critical thinking', 'go', 'interpersonal skills', 'attention to detail', 'java', 'sales']",archive (5)/data/data/ENGINEERING/16803215.pdf
Dawn Cowan,28-09-1980,david37@example.net,935.375.3695x280,Tajikistan,"Patriciashire, PR",18958 Sally Court Apt. 126,Masters,Male,14833,"['MVC', 'Api', 'HTML', 'Html', 'Blockchain', 'Java', 'JavaScript', 'js', 'SQL', 'C++', 'IP', 'CSS', 'Scripting', 'API', 'blockchain', 'RDBMS', 'TRAINING', 'java', 'HTMl', 'Networking', 'base', 'Css']",archive (5)/data/data/BANKING/29406313.pdf
Thomas Gross,10-03-1975,nataliekrause@example.net,252-850-2732,Mauritius,"Jonathanshire, ID",323 Powers Forest Apt. 594,Masters,Female,46732,"['communication', 'excel', 'training', 'sales', 'customer service']",archive (5)/data/data/BANKING/19374660.pdf
Michael Pena,18-12-1993,jenkinskaren@example.com,###############################################################################################################################################################################################################################################################,Martinique,"South Summerstad, ND",80293 Parrish Plains,Bachelors,Other,55287,"['team building', 'security', 'excel', 'linux', 'network security', 'ip', 'ftp', 'os', 'project management', 'data loss prevention', 'saas', 'nas', 'dlp', 'san', 'hipaa', 'voip', 'vpn', 'sql']",archive (5)/data/data/INFORMATION-TECHNOLOGY/31243710.pdf
Zachary Proctor,31-05-1969,melissa61@example.com,(380)492-0159x5974,Portugal,"South Cindy, GA",7347 Donald Springs Apt. 900,Masters,Other,83753,"['communication', 'mentoring', 'excel', 'research', 'marketing', 'coaching', 'relationship building', 'business development', 'training', 'sales']",archive (5)/data/data/BUSINESS-DEVELOPMENT/34797369.pdf
Sandra Church,27-02-1963,kendra39@example.com,417.422.8776,Belgium,"Baileyside, WY",61842 James Club Apt. 753,Masters,Other,98986,"['analytical skills', 'google analytics', 'base', 'marketing', 'business acumen', 'brand development', 'sales', 'customer service']",archive (5)/data/data/DIGITAL-MEDIA/16276121.pdf
Cheyenne Murphy,19-02-1969,staffordrachel@example.com,###############################################################################################################################################################################################################################################################,Myanmar,"North Brittany, IL",548 Cherry Loaf Apt. 183,Bachelors,Female,28153,"['communication', 'time management', 'security', 'mentoring', 'leadership development', 'budgeting', 'monitoring', 'leadership', 'base', 'research', 'public speaking', 'creativity', 'training', 'gpa', 'organizational skills', 'customer service', 'team building']",archive (5)/data/data/AVIATION/16449694.pdf
Meredith Rojas,21-07-1967,annakaiser@example.org,505.273.1434x7064,Jamaica,"Baileyview, ND",649 Amber Turnpike,Masters,Other,92357,"['communication', 'event coordination', 'excel', 'media relations', 'project coordination', 'marketing', 'public speaking', 'training']",archive (5)/data/data/CONSULTANT/22485475.pdf
Bobby Bailey,17-01-1981,onewton@example.net,(922)612-3850x402,Chile,"Masontown, ND",491 Jason Landing Suite 407,Masters,Other,91782,"['communication', 'excel', 'google analytics', 'marketing', 'training', 'security', 'editing']",archive (5)/data/data/DIGITAL-MEDIA/20210676.pdf
Teresa Williams,29-07-1991,jneal@example.org,001-944-292-2284,Palau,"Kimberlyhaven, IA",5961 Guerra Inlet Suite 707,Bachelors,Male,58446,"['communication', 'excel', 'employee relations', 'sales', 'customer service']",archive (5)/data/data/HR/17422560.pdf
Jordan Gallegos,26-02-1994,angelarandall@example.com,001-646-697-7831x302,Tajikistan,"Leestad, AZ",676 Moore Plain Apt. 832,Masters,Male,44053,"['Javascript', 'Python', 'Matlab', 'HTML', 'AWS', 'JAVA', 'SQL', 'CSS']",archive (5)/data/data/CHEF/10001727.pdf
Samantha Perez,10-04-1987,franciscoturner@example.net,466-814-9737x8656,Montserrat,"North Zachary, LA",3876 Montgomery Bridge Apt. 190,Bachelors,Female,5451,"['communication', 'critical thinking', 'chef', 'leadership', 'coaching', 'public speaking', 'collaboration', 'training', 'sales', 'customer service']",archive (5)/data/data/CHEF/19285236.pdf
Jimmy Jones,19-12-1986,lisa22@example.org,+1-342-425-3925x1965,Mauritania,"Holtstad, FM",11034 Cook Fields,Bachelors,Male,25905,"['communication', 'Sales', 'analytical skills', 'Excel', 'marketing', 'Marketing', 'training', 'sales', 'SALES']",archive (5)/data/data/AVIATION/19818707.pdf
Andrea Allen,13-04-1965,qsantana@example.org,790.483.6943x649,Seychelles,"Haileytown, CT",9993 Lopez Square,Bachelors,Other,81467,"['Creativity', 'Excel', 'Research']",archive (5)/data/data/FITNESS/19975121.pdf
Cathy Garner,09-11-1995,joseph78@example.org,555.705.8758,Nauru,"South Scott, MH",1147 Rice Mills,Bachelors,Female,73644,"['SLA', 'communication', 'time management', 'monitoring', 'analytical skills', 'leadership', 'operational efficiency', 'problem solving', 'interpersonal skills', 'decision making', 'relationship building', 'training', 'Monitoring', 'team building']",archive (5)/data/data/BUSINESS-DEVELOPMENT/18937778.pdf
Linda Myers,08-05-1993,williamsrandy@example.net,(221)215-6616x99267,Malta,"Markmouth, ID",606 Hinton Rest,Masters,Male,47966,"['xml', 'business intelligence', 'team leadership', 'leadership', 'tableau', 'agile', 'research', 'project management', 'sdlc', 'security', 'gpa', 'sql']",archive (5)/data/data/INFORMATION-TECHNOLOGY/13385306.pdf
Ryan Martinez,02-03-1988,tfuller@example.org,001-824-617-3228,Germany,"Port Stacey, KY",0403 Nicole Neck,Masters,Other,46028,"['Javascript', 'Python', 'Matlab', 'HTML', 'AWS', 'JAVA', 'SQL', 'CSS']",archive (5)/data/data/DIGITAL-MEDIA/23864858.pdf
Mary Miles,21-12-1994,matthewmartin@example.org,+1-544-478-0775x8116,Mongolia,"Lake Elizabethberg, RI",3823 Tyler Tunnel,Bachelors,Other,74118,"['matplotlib', 'data governance', 'pandas', 'data pipeline', 'jira', 'aws', 'agile', 'time series analysis', 'sql', 'training', 'java', 'python']",archive (5)/data/data/AGRICULTURE/11813872.pdf
Lisa Ellis,27-06-1995,woodardjane@example.net,+1-588-912-7910x4978,Dominican Republic,"North Stevenport, PA",116 Brittany Trail Apt. 131,Bachelors,Male,63326,"['Communication', 'Marketing', 'Sales']",archive (5)/data/data/CONSULTANT/13313917.pdf
Kelly Williams,30-08-1994,meganmckinney@example.org,622-363-8501x90711,Austria,"New Tiffany, FL",2388 Garrison Loaf,Masters,Other,6626,"['communication', 'business intelligence', 'excel', 'budgeting', 'bi', 'project management', 'decision making', 'attention to detail', 'marketing', 'sales', 'customer service']",archive (5)/data/data/APPAREL/12669075.pdf
Lonnie Garcia,18-08-1983,philipburke@example.org,(837)317-9351x504,Andorra,"Andersonview, SD",378 Joshua Brooks,Bachelors,Female,44738,"['excel', 'customer service']",archive (5)/data/data/TEACHER/25729119.pdf
Victoria Fletcher,28-09-1980,achen@example.com,+1-663-384-2551x072,Maldives,"Samanthatown, ND",471 Kevin Field Apt. 802,Bachelors,Male,83117,"['attention to detail', 'sales', 'monitoring']",archive (5)/data/data/HEALTHCARE/91478356.pdf
George Williams,14-09-1998,darrell04@example.com,001-466-833-4685x751,Cote d'Ivoire,"Mercerside, NV",437 Huff Greens,Bachelors,Male,49846,"['employee engagement', 'excel', 'gpa', 'research', 'microsoft excel', 'decision making', 'project management', 'training', 'editing']",archive (5)/data/data/ADVOCATE/29177904.pdf
Laura Smith,24-08-2004,rangeltammy@example.net,###############################################################################################################################################################################################################################################################,Lebanon,"South Susan, CA",314 Nelson Fort Apt. 977,Masters,Male,37138,"['communication', 'excel', 'problem solving', 'microsoft excel', 'active listening', 'conflict resolution', 'training', 'sales', 'organizational skills', 'customer service']",archive (5)/data/data/FITNESS/27397245.pdf
Monica Murray,25-12-1979,hgriffin@example.net,463.706.8934x71311,Burundi,"Jacobsberg, PW",106 Angel Row Suite 822,Masters,Male,73542,"['automation', 'Scripting', 'Collaboration', 'Ansible', 'Java', 'Jenkins', 'CD', 'subversion', 'Software Development Life Cycle', 'GIT', 'Shell Scripting', 'base', 'Security', 'Automation', 'marketing', 'sales', 'Linux']",archive (5)/data/data/BANKING/68781345.pdf
Sarah Peck,18-05-1970,steintom@example.com,349-868-0192,Mongolia,"Christophertown, KY",366 Hernandez Lakes,Bachelors,Male,27623,"['customer relations', 'leadership', 'training', 'sales', 'customer service']",archive (5)/data/data/FITNESS/22855060.pdf
David Cook,23-06-1966,luke17@example.net,###############################################################################################################################################################################################################################################################,Somalia,"Heathview, NY",2384 Anderson Key,Masters,Male,91213,"['time management', 'networking', 'problem solving', 'business development', 'training', 'sales', 'customer service']",archive (5)/data/data/BUSINESS-DEVELOPMENT/28337049.pdf
Jennifer Franklin,10-09-1980,xpugh@example.net,(776)417-5608,Saint Martin,"Padillaland, AR",0631 Cook Knolls Suite 623,Bachelors,Female,49659,"['network security', 'problem solving', 'strategic planning', 'mentoring', 'linux', 'ip', 'risk management', 'san', 'training', 'security', 'vpn', 'change management', 'tcp', 'incident management', 'negotiation', 'coaching', 'collaboration', 'monitoring', 'networking', 'base', 'relationship building']",archive (5)/data/data/INFORMATION-TECHNOLOGY/52246737.pdf
Olivia Sutton,11-07-1963,brownjessica@example.net,001-659-300-6964x74451,Portugal,"Barnettside, ME",58960 Shaun Extensions,Masters,Female,37106,"['Research', '3d printing', 'training']",archive (5)/data/data/BUSINESS-DEVELOPMENT/25813953.pdf
Elizabeth Ruiz,05-11-1997,mckayluis@example.com,001-844-546-5996x542,Rwanda,"North Ryanport, WV",1062 Benjamin Viaduct,Masters,Female,91841,['base'],archive (5)/data/data/ENGINEERING/28005884.pdf
Laura Anderson,03-04-1973,chelseajohnson@example.net,+1-246-455-8002x10946,Senegal,"Port Stephen, NC",945 Jonathan Oval Suite 536,Bachelors,Female,18109,"['employee development', 'performance management', 'classification', 'networking', 'research', 'interpersonal skills', 'coaching', 'employee relations', 'baas', 'regulatory compliance', 'training']",archive (5)/data/data/HR/57667857.pdf
Kenneth Wilson,28-09-1966,trollins@example.net,731.826.8228x482,Chad,"Debrastad, VI",62543 Harris Island Apt. 156,Masters,Other,75129,"['Creativity', 'Excel', 'Research']",archive (5)/data/data/HR/18155310.pdf
Thomas Allen,29-07-1981,dsanders@example.org,(344)910-2941,Sudan,"Port Jenniferborough, UT",79281 Robbins Road,Masters,Female,38317,"['chef', 'conflict resolution', 'training', 'organizational skills', 'customer service']",archive (5)/data/data/CHEF/29072179.pdf
Ashley Meyer,16-05-1971,jonathan35@example.net,489-207-8552x497,Gabon,"East Calebland, MD",495 Ashley Square,Masters,Other,62984,"['BI', 'base', 'SQL', 'Power BI', 'security', 'Editing', 'Go']",archive (5)/data/data/HEALTHCARE/20110597.pdf
David Hebert,06-08-2000,lewistracy@example.net,(282)812-4914,Solomon Islands,"West David, ID",071 Brett Crescent,Bachelors,Other,6950,"['SLA', 'communication', 'Business Intelligence', 'unix', 'Unit Testing', 'Unix', 'monitoring', 'Data Warehousing', 'BI', 'base', 'SQL', 'OS', 'ETL', 'UNIX', 'integration testing', 'Unit testing']",archive (5)/data/data/AGRICULTURE/21134923.pdf
Ruben Waters,26-05-1967,thamilton@example.org,407-232-7406x19791,Hong Kong,"West Edwardborough, VI",918 Garza Roads Apt. 613,Masters,Female,5783,"['time management', 'communication', 'marketing', 'business development', 'sales', 'customer service']",archive (5)/data/data/BUSINESS-DEVELOPMENT/76916835.pdf
Nichole Murphy,17-04-1987,vwilson@example.org,490.405.5998x193,Colombia,"Christineland, PR",0294 Madison Ferry Apt. 797,Masters,Other,17867,"['Python', 'Numpy', 'Tensorflow', 'OS', 'C++']",archive (5)/data/data/ACCOUNTANT/18132924.pdf
Justin Sanford,26-10-1993,rachel95@example.org,###############################################################################################################################################################################################################################################################,United States Virgin Islands,"Brownchester, PW",93089 Bailey Pine,Bachelors,Male,75369,"['time management', 'brand management', 'communication', 'leadership', 'base', 'marketing', 'training', 'sales', 'customer service', 'team building', 'product management']",archive (5)/data/data/SALES/28867567.pdf
Rachel Gonzalez,14-07-1967,claytonnancy@example.com,246-516-8772x0071,Seychelles,"Abbottmouth, SD",9751 Burgess Views,Bachelors,Female,86126,"['mentoring', 'process improvement', 'excel', 'public relations', 'leadership', 'marketing', 'coaching', 'collaboration', 'resource management', 'strategic planning', 'facilitation', 'data analysis', 'training', 'team building']",archive (5)/data/data/HEALTHCARE/98309114.pdf
Natalie Williams,01-02-1987,mooremegan@example.com,941-661-5833x00725,Albania,"Tiffanyfort, NV",58113 Tony Square,Masters,Female,98112,"['Python', 'Scripting', 'Java', 'pandas', 'html', 'numpy', 'Excel', 'GUI', 'scripting', 'python']",archive (5)/data/data/ACCOUNTANT/37997506.pdf
Tina Hurley,07-10-1984,colleenblanchard@example.org,###############################################################################################################################################################################################################################################################,Dominica,"Robertshire, NV",2494 Mcgee Port,Bachelors,Female,90782,"['communication', 'problem solving', 'attention to detail', 'client relations', 'sales', 'customer service', 'team building']",archive (5)/data/data/CONSULTANT/91116867.pdf
Carol Mitchell,02-07-1997,gibsonshane@example.org,001-302-476-9398x46024,Nigeria,"Dustinberg, FL",5078 Morris Mountains,Masters,Other,99364,"['communication', 'excel', 'chef', 'training', 'organizational skills', 'customer service']",archive (5)/data/data/CHEF/15354126.pdf
Claudia Bruce,28-12-1965,smithstephanie@example.org,(980)607-7611x131,Tonga,"East Marcton, RI",61405 Hawkins Burg Apt. 467,Masters,Other,76663,"['communication', 'network security', 'voip', 'change management', 'analytical skills', 'vlan', 'ip', 'leadership', 'base', 'problem solving', 'mobile development', 'project management', 'marketing', 'sdlc', 'training', 'security', 'sales', 'sql']",archive (5)/data/data/HEALTHCARE/32563518.pdf
Patrick Cruz,05-11-2001,thomas26@example.com,001-407-583-3563,South Africa,"Lake Laurenport, GU",5573 Williams Flats Suite 824,Bachelors,Male,10143,"['cad', 'excel', 'go', 'networking', 'project management', 'san', 'training']",archive (5)/data/data/CONSTRUCTION/26509539.pdf
Aaron Caldwell,16-12-1965,andrew68@example.org,211.341.8143,Nepal,"Port Christophermouth, SC",69096 Mitchell Squares,Bachelors,Female,18209,"['communication', 'customer relations', 'problem solving', 'creativity', 'conflict resolution', 'sales', 'organizational skills', 'customer service']",archive (5)/data/data/SALES/27233183.pdf
Elizabeth Stanton,04-11-1991,ebarber@example.org,895-927-3997x4420,Saudi Arabia,"Geoffreyside, IL",71475 Rachel Parkway Suite 144,Masters,Male,51738,"['training', 'sales']",archive (5)/data/data/FITNESS/27974588.pdf
Stephen Fernandez,10-09-1976,belinda95@example.net,001-679-514-7550,Saint Kitts and Nevis,"East Steven, NJ",351 Rebecca Mountains,Masters,Female,98723,"['automation', 'process improvement', 'blockchain', 'robotic process automation', 'analytical skills', 'agile', 'interpersonal skills', 'marketing', 'project management', 'business development', 'scrum', 'sdlc', 'training', 'sales']",archive (5)/data/data/CONSULTANT/56792999.pdf
Daniel Marks,31-08-1963,jose99@example.org,351.223.8895x692,Heard Island and McDonald Islands,"Port Michael, GU",93963 Michael Plain,Masters,Female,50042,"['communication', 'leadership', 'risk management', 'employee relations', 'project management', 'training', 'gpa', 'training development']",archive (5)/data/data/AVIATION/13234267.pdf
Elizabeth Jenkins,13-12-1989,danielcummings@example.net,602.293.1550x18656,Nepal,"Ryanville, FL",0805 Carter Turnpike,Bachelors,Female,9080,"['communication', 'interpersonal skills', 'security', 'sales', 'customer service']",archive (5)/data/data/ADVOCATE/10818478.pdf
Deborah Johnson,03-05-1986,pprice@example.com,+1-922-238-5926x36193,Kuwait,"New Whitney, NH",87429 Daniel Circles Suite 747,Masters,Male,75407,"['Java', 'Operating System', 'SQL', 'IDE', 'Linux']",archive (5)/data/data/SALES/29134721.pdf
Kristie Moore,20-07-1981,deleondebra@example.org,###############################################################################################################################################################################################################################################################,Chile,"Lake Sharonberg, MA",156 Gordon Neck Suite 208,Bachelors,Female,67470,"['communication', 'excel', 'bi', 'r', 'san']",archive (5)/data/data/FINANCE/19147603.pdf
Brianna Mitchell,27-04-1998,meganlewis@example.net,+1-409-982-9297x021,Equatorial Guinea,"Shannonmouth, ND",44553 Terrell Ridges Apt. 264,Masters,Other,71134,"['communication', 'gpa', 'excel', 'base', 'attention to detail', 'active listening', 'conflict resolution', 'training', 'sales', 'organizational skills', 'customer service']",archive (5)/data/data/ADVOCATE/31242382.pdf
David Lewis,29-07-2002,etaylor@example.com,338.934.9216,Iraq,"Johnborough, OR",3907 Ford Burg Suite 990,Bachelors,Other,39114,"['training', 'gpa']",archive (5)/data/data/TEACHER/15899269.pdf
James Stanley,09-07-1968,ryangibson@example.net,915.240.4302,New Caledonia,"New Jimmyfurt, KY",467 Timothy Avenue Suite 770,Bachelors,Female,28974,"['Python', 'Sales', 'Agile', 'Regression', 'Security', 'Automation', 'SQL', 'Resource Management', 'DevSecOps', 'Scrum', 'Selenium', 'security', 'sales']",archive (5)/data/data/HEALTHCARE/39082090.pdf
Susan Wagner,02-06-1985,millersharon@example.com,001-985-696-9633,Djibouti,"Campbellbury, FM",1990 Haley Islands,Masters,Other,78206,"['communication', 'marketing strategy', 'networking', 'problem solving', 'marketing', 'coaching', 'training', 'sales', 'team building']",archive (5)/data/data/SALES/29184740.pdf
Brandy Paul,19-06-1987,bcruz@example.com,570-609-8420x270,Korea,"Clintonberg, ME",017 Rachel Hills,Bachelors,Male,63479,['Leadership'],archive (5)/data/data/ADVOCATE/13909762.pdf
Kristin Allen,31-07-2002,murraydavid@example.net,362.536.3093x7106,Benin,"West Kelly, NY",69098 Bryan Club Apt. 368,Bachelors,Male,77865,"['performance management', 'excel', 'leadership', 'talent acquisition', 'research', 'employee relations', 'client relations', 'training', 'sales', 'persuasion']",archive (5)/data/data/HR/14886205.pdf
Jessica Ferguson,15-08-1962,rgarcia@example.org,+1-704-793-5012x6843,Comoros,"Port Anthonyview, WV",000 Chavez Landing,Bachelors,Female,53446,"['communication', 'client acquisition', 'teamwork', 'leadership', 'risk management', 'marketing', 'negotiation', 'business development', 'training', 'security', 'sales', 'customer service', 'product management']",archive (5)/data/data/BUSINESS-DEVELOPMENT/14861855.pdf
Gabrielle Smith,01-06-1999,ybrown@example.org,+1-350-561-7155x0128,Guernsey,"Robertsstad, LA",418 Shawn Station Apt. 645,Bachelors,Male,22233,"['communication', 'sales', 'training', 'cv']",archive (5)/data/data/HEALTHCARE/17960690.pdf
Todd Huff,15-01-1973,qthomas@example.net,###############################################################################################################################################################################################################################################################,Malawi,"South Michaelfort, VA",3940 Gerald Stravenue Suite 971,Bachelors,Female,69183,"['communication', 'time management', 'interpersonal skills', 'bi', 'training']",archive (5)/data/data/HEALTHCARE/16132195.pdf
Jason Hoffman,07-05-1973,lewispamela@example.org,731-509-1863x7018,Comoros,"Richardtown, FM",7493 Rivera Extension Suite 108,Masters,Female,51927,"['Communication', 'Java']",archive (5)/data/data/AVIATION/22442947.pdf
Sean Robinson,02-06-1974,uhuynh@example.com,001-360-892-6598x6952,Nigeria,"Port David, IA",01383 Gary Prairie Suite 505,Bachelors,Male,10370,"['communication', 'time management', 'go', 'hipaa', 'active listening', 'training', 'organizational skills']",archive (5)/data/data/HEALTHCARE/25328428.pdf
Christopher Jones,25-10-1969,ymartinez@example.net,756-528-7081,Central African Republic,"Gabrielstad, LA",20409 Perkins Wells,Bachelors,Male,43341,"['communication', 'time management', 'critical thinking', 'leadership', 'problem solving', 'conflict resolution', 'training']",archive (5)/data/data/TEACHER/62184086.pdf
Michael Burgess,22-10-1976,cathyburton@example.com,###############################################################################################################################################################################################################################################################,British Indian Ocean Territory (Chagos Archipelago),"New Jamesbury, AK",32465 Anderson Dale,Masters,Female,34142,"['customer relations', 'excel', 'monitoring', 'base', 'problem solving', 'interpersonal skills', 'organizational skills']",archive (5)/data/data/ENGINEERING/19553067.pdf
Kevin Reynolds,04-06-1985,hopkinsmichael@example.org,001-316-477-2153,Mexico,"Fordville, AS",23850 Maxwell Mission,Bachelors,Male,24463,"['communication', 'salesforce', 'excel', 'process improvement', 'budgeting', 'networking', 'leadership', 'project management', 'business development', 'sql', 'regulatory compliance', 'security', 'sales', 'kpi', 'team building']",archive (5)/data/data/FINANCE/14181049.pdf
James Boone,08-07-1966,efrench@example.com,001-447-211-6784,Latvia,"West Danielle, MD",06983 Washington Plains,Bachelors,Female,49448,"['communication', 'mentoring', 'public relations', 'networking', 'leadership', 'risk management', 'marketing', 'project management', 'data analysis', 'training', 'sales', 'customer service']",archive (5)/data/data/SALES/28139742.pdf
Kimberly Carter,16-12-1974,michaelsmith@example.net,(961)710-8138,Fiji,"North Derekshire, PA",41719 Aguilar Course Suite 714,Bachelors,Female,55193,"['Spark', 'NoSQL', 'AWS', 'HADOOP', 'unit testing', 'HBase', 'Linux', 'Java', 'SPARK', 'HBASE', 'BI', 'SQL', 'security', 'Python', 'Scripting', 'Shell Scripting', 'IDE', 'RDBMS', 'Hadoop', 'SVN', 'KPI']",archive (5)/data/data/ARTS/18885767.pdf
Tiffany Young,08-11-1974,phines@example.com,447.826.8533x53911,New Caledonia,"West Melissaview, HI",10564 Peter Grove Apt. 105,Bachelors,Female,52023,"['communication', 'excel', 'problem solving', 'marketing', 'attention to detail', 'r', 'relationship building', 'customer retention', 'active listening', 'conflict resolution', 'sales', 'organizational skills', 'customer service', 'sql']",archive (5)/data/data/SALES/26530696.pdf
Kayla James,02-12-1999,alvareztracey@example.com,###############################################################################################################################################################################################################################################################,Liechtenstein,"Blankenshipfurt, NY",6712 Samuel Throughway,Masters,Male,87516,"['Scripting', 'MVC', 'Java', 'Json', 'HTML', 'JSON', 'Software Development Life Cycle', 'JavaScript', 'unit testing', 'CSS']",archive (5)/data/data/TEACHER/15899269.pdf
Mark Gomez,12-05-1970,david02@example.com,+1-617-853-7900x9331,Myanmar,"North Christy, MD",685 Clinton Greens Apt. 949,Masters,Female,17726,"['communication', 'customer relations', 'performance management', 'security', 'team leadership', 'excel', 'leadership', 'interpersonal skills', 'coaching', 'marketing', 'training', 'sales', 'organizational skills', 'team building']",archive (5)/data/data/FITNESS/25507648.pdf
Jeffrey Mclaughlin,18-03-1969,jenkinsjonathan@example.com,657.449.5708x437,Burkina Faso,"Jamieside, SD",4388 Lewis Square Suite 099,Masters,Male,32510,"['automation', 'shell scripting', 'Puppet', 'Unix', 'Linux', 'linux', 'HTML', 'AWS', 'Azure', 'Automation', 'SQL', 'scripting', 'Monitoring', 'sql']",archive (5)/data/data/ENGINEERING/50328713.pdf
Paul Long,02-09-1993,stephanie06@example.com,(998)356-6349x61249,Comoros,"East Kimberlyberg, KY",5534 Jeffrey Viaduct,Masters,Male,21969,"['automation', 'tableau', 'r', 'event management', 'project management', 'sql', 'training', 'python']",archive (5)/data/data/ENGINEERING/32985311.pdf
Gerald Reed,22-01-1966,mathissusan@example.org,###############################################################################################################################################################################################################################################################,Switzerland,"Greenton, MO",1201 Nathaniel Trail Suite 537,Masters,Male,94744,"['ar', 'communication', 'time management', 'excel', 'research', 'microsoft excel', 'market research', 'r', 'sales', 'organizational skills']",archive (5)/data/data/FINANCE/78229715.pdf
James Howard,26-09-1999,gsmith@example.com,+1-731-619-5375x28204,Christmas Island,"Jennifermouth, VT",364 Williams Road,Masters,Male,80551,"['Java', 'Operating System', 'SQL', 'IDE', 'Linux']",archive (5)/data/data/HEALTHCARE/69199666.pdf
Cheryl Rivera,15-10-1998,cnewton@example.net,850-401-5669,Colombia,"Diazchester, NH",566 Gordon Valley Apt. 170,Masters,Female,57328,"['communication', 'security', 'public relations', 'media relations', 'research', 'bi', 'marketing', 'project management', 'training', 'brand development', 'team building']",archive (5)/data/data/PUBLIC-RELATIONS/16226743.pdf
Paul Collins,16-03-1995,ygrimes@example.com,416-480-1871x114,Djibouti,"Shannonshire, FM",4509 Lisa Summit Apt. 419,Bachelors,Female,58588,"['team leadership', 'leadership', 'project management', 'training', 'sales']",archive (5)/data/data/AVIATION/11752500.pdf
Shawn Shepard,23-08-1968,preston39@example.net,281-731-4144x12304,Cameroon,"Charleshaven, NC",364 Calderon Station Suite 848,Masters,Other,97768,"['excel', 'base', 'relationship building', 'training', 'sales']",archive (5)/data/data/HEALTHCARE/18484846.pdf
Timothy Rhodes,24-08-1996,perickson@example.org,###############################################################################################################################################################################################################################################################,Taiwan,"Roberthaven, NM",47995 Meyers River Suite 852,Masters,Male,68793,"['Javascript', 'Scripting', 'Python', 'Java', 'Spark', 'Big Data', 'clustering', 'R', 'Hadoop', 'Azure', 'AWS', 'HADOOP', 'SQL', 'Random forest', 'data mining', 'C++', 'UNIX', 'CSS']",archive (5)/data/data/FINANCE/28396458.pdf
